Rule                                                   | Time (ms) | Relative
no-console                                             |     3.919 |     0.1%
@angular-eslint/directive-class-suffix                 |     3.914 |     0.1%
@typescript-eslint/no-non-null-assertion               |     3.825 |     0.1%
valid-typeof                                           |     3.819 |     0.1%
import/no-named-default                                |     3.628 |     0.1%
no-empty                                               |     3.596 |     0.1%
@typescript-eslint/prefer-function-type                |     3.574 |     0.1%
no-octal                                               |     3.555 |     0.1%
no-useless-computed-key                                |     3.477 |     0.1%
radix                                                  |     3.429 |     0.1%
no-proto                                               |     3.349 |     0.1%
no-bitwise                                             |     3.305 |     0.1%
template-curly-spacing                                 |     3.266 |     0.1%
promise/param-names                                    |     3.235 |     0.1%
@angular-eslint/no-output-on-prefix                    |     3.022 |     0.1%
@angular-eslint/no-outputs-metadata-property           |     2.989 |     0.1%
no-useless-rename                                      |     2.946 |     0.1%
use-isnan                                              |     2.934 |     0.1%
yoda                                                   |     2.903 |     0.1%
@typescript-eslint/prefer-for-of                       |     2.878 |     0.1%
no-func-assign                                         |     2.867 |     0.1%
prefer-rest-params                                     |     2.866 |     0.1%
eqeqeq                                                 |     2.690 |     0.1%
storybook/await-interactions                           |     2.535 |     0.1%
yield-star-spacing                                     |     2.420 |     0.1%
storybook/no-redundant-story-name                      |     2.374 |     0.1%
@typescript-eslint/prefer-namespace-keyword            |     2.364 |     0.1%
no-compare-neg-zero                                    |     2.347 |     0.1%
no-new-object                                          |     2.243 |     0.1%
@typescript-eslint/no-misused-new                      |     2.175 |     0.1%
no-sequences                                           |     2.160 |     0.1%
new-parens                                             |     2.034 |     0.1%
no-class-assign                                        |     1.994 |     0.1%
no-inner-declarations                                  |     1.971 |     0.1%
no-new-func                                            |     1.964 |     0.1%
symbol-description                                     |     1.911 |     0.1%
no-unneeded-ternary                                    |     1.901 |     0.1%
no-cond-assign                                         |     1.886 |     0.1%
@typescript-eslint/no-non-null-asserted-optional-chain |     1.869 |     0.1%
storybook/prefer-pascal-case                           |     1.722 |     0.1%
no-return-await                                        |     1.703 |     0.1%
unicode-bom                                            |     1.691 |     0.1%
no-new-symbol                                          |     1.604 |     0.1%
no-useless-concat                                      |     1.495 |     0.1%
@typescript-eslint/no-extra-non-null-assertion         |     1.476 |     0.1%
no-unsafe-negation                                     |     1.458 |     0.1%
no-labels                                              |     1.426 |     0.1%
rest-spread-spacing                                    |     1.423 |     0.1%
no-var                                                 |     1.400 |     0.1%
no-sparse-arrays                                       |     1.342 |     0.1%
storybook/story-exports                                |     1.087 |     0.0%
no-path-concat                                         |     1.060 |     0.0%
no-duplicate-case                                      |     1.052 |     0.0%
no-new-wrappers                                        |     1.012 |     0.0%
@angular-eslint/use-pipe-transform-interface           |     0.891 |     0.0%
storybook/hierarchy-separator                          |     0.884 |     0.0%
no-negated-in-lhs                                      |     0.867 |     0.0%
no-unused-labels                                       |     0.828 |     0.0%
no-ex-assign                                           |     0.811 |     0.0%
no-delete-var                                          |     0.748 |     0.0%
getter-return                                          |     0.746 |     0.0%
no-label-var                                           |     0.735 |     0.0%
storybook/context-in-play-function                     |     0.699 |     0.0%
no-new-require                                         |     0.692 |     0.0%
no-empty-character-class                               |     0.688 |     0.0%
template-tag-spacing                                   |     0.686 |     0.0%
for-direction                                          |     0.685 |     0.0%
no-throw-literal                                       |     0.677 |     0.0%
no-case-declarations                                   |     0.644 |     0.0%
no-empty-pattern                                       |     0.633 |     0.0%
storybook/use-storybook-expect                         |     0.632 |     0.0%
storybook/default-exports                              |     0.624 |     0.0%
node/process-exit-as-throw                             |     0.519 |     0.0%
no-async-promise-executor                              |     0.511 |     0.0%
storybook/use-storybook-testing-library                |     0.496 |     0.0%
no-useless-catch                                       |     0.491 |     0.0%
no-new                                                 |     0.460 |     0.0%
no-with                                                |     0.449 |     0.0%
no-debugger                                            |     0.444 |     0.0%
no-undef                                               |     0.251 |     0.0%
no-setter-return                                       |     0.134 |     0.0%
no-import-assign                                       |     0.088 |     0.0%
